labor_id,week,shopper_id,curbie_id,labor_hours,wages
1,2024-06-17,1,48,13.5,21.49
2,2024-07-22,48,25,18.8,16.67
3,2024-06-17,19,8,14.15,14.06
4,2024-06-17,47,18,29.21,21.96
5,2024-06-17,32,22,27.3,14.68
6,2024-03-11,25,16,28.83,18.68
7,2024-02-19,2,18,19.8,16.66
8,2024-03-18,45,36,38.79,14.86
9,2024-02-05,49,25,24.6,21.7
10,2024-04-15,5,23,30.92,12.5
11,2024-04-08,23,50,37.07,21.96
12,2024-05-13,43,36,36.39,20.48
13,2024-05-13,24,31,21.14,17.79
14,2024-04-29,29,16,25.68,21.1
15,2024-01-08,4,42,30.66,19.6
16,2024-06-03,29,20,35.46,16.68
17,2024-05-20,46,5,22.41,21.78
18,2024-01-01,3,35,37.51,20.44
19,2024-01-22,14,27,12.85,21.12
20,2024-03-11,49,23,39.59,21.95
21,2024-06-03,9,41,29.13,16.22
22,2024-01-08,18,43,10.81,17.79
23,2024-02-19,35,49,28.22,18.48
24,2024-03-25,5,3,29.3,13.09
25,2024-03-18,18,12,21.26,14.32
26,2024-07-08,30,18,19.48,18.11
27,2024-07-15,14,19,17.34,17.54
28,2024-03-25,14,11,19.99,13.44
29,2024-03-11,19,26,10.82,13.41
30,2024-02-12,20,3,15.48,12.57
31,2024-06-17,34,7,10.75,14.76
32,2024-03-25,16,8,39.23,16.5
33,2024-02-12,19,2,10.44,21.45
34,2024-02-26,7,15,28.52,18.7
35,2024-06-17,28,34,38.76,14.15
36,2024-01-08,40,34,34.3,13.34
37,2024-03-18,7,8,34.01,12.08
38,2024-03-18,45,16,12.43,12.59
39,2024-05-27,15,46,14.13,15.95
40,2024-06-17,6,15,34.68,20.09
41,2024-02-19,26,2,24.45,13.67
42,2024-03-04,48,8,11.7,17.96
43,2024-01-22,12,24,15.16,13.2
44,2024-07-01,35,1,24.55,20.05
45,2024-02-26,29,32,24.62,12.25
46,2024-01-08,3,1,24.94,16.29
47,2024-07-15,16,2,26.28,17.11
48,2024-03-11,35,45,37.04,18.66
49,2024-01-29,31,1,21.25,21.31
50,2024-04-29,40,16,24.26,20.77
51,2024-01-01,14,31,15.39,13.06
52,2024-05-13,42,38,24.53,12.86
53,2024-05-13,21,33,12.57,13.48
54,2024-01-15,26,33,20.63,20.74
55,2024-07-22,35,40,20.64,19.5
56,2024-01-01,17,41,17.64,16.11
57,2024-01-08,19,5,35.72,14.08
58,2024-04-01,7,11,39.0,18.34
59,2024-06-03,47,40,33.09,15.48
60,2024-07-01,50,28,36.71,18.62
61,2024-06-03,45,17,25.27,14.78
62,2024-04-22,15,50,37.13,13.6
63,2024-04-08,50,33,33.36,18.49
64,2024-03-04,10,47,25.2,12.99
65,2024-01-15,41,2,13.5,14.75
66,2024-01-22,24,43,35.74,14.01
67,2024-04-22,35,19,20.43,20.64
68,2024-03-04,9,45,21.54,20.03
69,2024-07-08,43,3,18.73,17.16
70,2024-01-08,30,14,33.1,13.33
71,2024-03-04,11,32,35.57,14.81
72,2024-05-20,36,45,27.01,12.03
73,2024-03-04,13,13,39.9,16.42
74,2024-04-08,17,41,15.9,13.76
75,2024-01-15,24,3,27.93,19.19
76,2024-05-13,47,50,23.89,18.55
77,2024-01-08,50,11,17.15,13.52
78,2024-07-15,40,24,19.32,20.17
79,2024-02-19,29,49,39.34,19.9
80,2024-06-24,22,35,12.03,19.35
81,2024-01-22,6,47,15.63,19.01
82,2024-02-05,34,14,27.55,13.94
83,2024-01-08,14,42,32.34,21.15
84,2024-05-06,26,3,34.6,16.31
85,2024-03-25,3,17,30.61,14.41
86,2024-01-08,1,4,31.03,17.15
87,2024-03-18,45,18,18.01,12.21
88,2024-05-20,23,26,10.82,19.93
89,2024-01-01,38,29,25.58,18.46
90,2024-04-29,22,47,24.33,16.59
91,2024-01-08,35,20,14.13,14.78
92,2024-04-08,44,32,16.33,17.33
93,2024-05-20,49,1,38.69,20.44
94,2024-05-20,13,33,15.42,14.53
95,2024-03-18,27,13,22.62,21.19
96,2024-01-01,40,23,10.96,12.12
97,2024-05-13,22,16,28.8,14.0
98,2024-07-22,35,25,37.87,12.13
99,2024-05-13,35,7,10.13,14.03
100,2024-07-01,38,13,16.87,17.96
101,2024-04-08,3,38,10.43,13.8
102,2024-01-22,29,16,20.1,13.11
103,2024-05-27,31,19,11.33,13.75
104,2024-04-08,26,22,32.44,18.49
105,2024-04-01,20,10,21.92,12.51
106,2024-03-11,1,34,26.44,14.5
107,2024-01-01,33,5,16.88,15.57
108,2024-05-06,42,25,31.46,17.45
109,2024-04-29,40,8,26.77,12.81
110,2024-01-01,6,37,19.98,13.35
111,2024-04-29,32,11,23.57,17.07
112,2024-04-01,46,36,21.41,15.49
113,2024-04-29,39,6,12.66,16.63
114,2024-06-24,32,42,36.64,20.35
115,2024-03-18,32,12,15.16,20.65
116,2024-02-12,14,40,17.0,16.01
117,2024-07-22,9,19,19.76,17.72
118,2024-05-06,12,3,26.43,14.35
119,2024-01-15,40,46,31.62,14.08
120,2024-03-04,30,21,18.17,20.43
121,2024-04-22,15,19,14.7,19.73
122,2024-05-20,7,38,31.45,19.7
123,2024-02-12,27,28,35.73,17.05
124,2024-03-25,13,43,11.79,19.54
125,2024-06-17,25,29,27.37,17.37
126,2024-04-08,25,14,30.99,18.77
127,2024-01-15,39,12,35.41,17.71
128,2024-01-29,14,30,35.42,16.67
129,2024-02-19,21,14,33.21,17.7
130,2024-05-13,32,9,20.48,21.98
131,2024-02-05,26,45,13.54,12.99
132,2024-07-22,48,19,11.24,13.39
133,2024-04-15,33,18,37.88,21.35
134,2024-07-22,27,49,33.88,20.36
135,2024-04-08,31,47,32.1,16.44
136,2024-01-08,14,15,13.4,14.97
137,2024-02-26,22,42,14.46,20.29
138,2024-05-13,18,1,23.3,21.29
139,2024-03-25,40,46,17.84,16.56
140,2024-01-08,13,18,28.92,17.11
141,2024-06-10,13,39,13.79,13.04
142,2024-01-01,28,36,11.59,15.74
143,2024-03-11,48,45,13.09,20.35
144,2024-02-19,6,44,27.0,15.36
145,2024-01-15,21,50,30.19,19.74
146,2024-01-08,44,10,35.58,19.22
147,2024-04-29,36,24,27.45,17.03
148,2024-07-15,30,15,17.75,15.06
149,2024-07-15,50,11,14.04,12.18
150,2024-01-01,20,21,22.47,18.27
